HPO	Associated Genes
Deviation of the hand or of fingers of the hand	LZTR1,PIK3CD,RRAS,IPW,CENPJ,GATA4,FLNB,RAD51,PHF21A,RIT1,PLXND1,CSGALNACT1,MAP3K7,TELO2,FANCM,HDAC4,FANCB,HOXD13,SEMA3E,CUL4B,EMG1,PAFAH1B1,DPAGT1,CHD7,KIAA1109,ALX1,MYBPC1,USP7,GJA1,ZFPM2,CCDC8,MAP2K1,CUL7,SHH,COL11A1,MED25,PQBP1,FANCA,IFT122,DONSON,EVC,LIMK1,BRIP1,DLX3,UBE3B,CEP55,BICD2,MGAT2,FANCC,STAG2,RNF216,HDAC8,AMER1,MAD2L2,MKS1,EFNB1,MAP1B,TP63,SNRPB,IQSEC2,GATA6,IGF1R,GLI3,RASA2,CRIPT,FBN2,TRRAP,FANCI,DACT1,NEK9,PACS1,BCR,CCDC28B,EZH2,RPL10,KRAS,PIGL,SOX6,BMP4,TRAIP,PCNT,WDR35,IFT43,ODC1,PWAR1,TBX15,TNNI2,SMOC1,KDM6B,PACS2,ATRIP,MAPK1,MUSK,TBX22,FGF10,PIEZO2,MAPK8IP3,LMNA,RNU4ATAC,SNRPN,TMEM216,ABCC8,BAZ1B,ARL6,LBR,ZNF462,ASXL1,MAGEL2,BLM,DVL1,SLC9A7,PUF60,GPC4,HERC2,TRAPPC9,MASP1,ADGRG6,EVC2,PTF1A,HOXA13,CRKL,BMP2,IHH,BUB3,PRDM16,UBA1,PAX3,NEK1,WNT7A,SIN3A,DHPS,STAG1,NSUN2,ORC1,HMGA2,TFAP2B,ARID1B,DVL3,FGD1,NIN,KLF13,TBX5,CDC6,CNOT3,SKI,AFF2,GATA5,AMMECR1,BRAT1,PKDCC,FANCF,GTF2I,ATRX,KCNJ11,CHSY1,SHANK3,DOK7,SIM1,PTRH2,A2ML1,PLK4,CBL,COG7,RBM8A,KCNJ2,FGFR2,CRLF1,FZD2,CREBBP,LIFR,FGFR3,TRIO,SATB2,LEMD3,CCNQ,SMC1A,FLII,TRPV4,PEX1,ABL1,BRAF,CEP57,PWRN1,UBE3A,TBL2,TCF4,NPR2,CHST11,RB1,NIPBL,GABRD,HPGD,UBR1,H19-ICR,KCNAB2,MRAS,KAT8,MKRN3-AS1,CDC45,SAMD9,RAB18,SPECC1L,KDM1A,PTH1R,COG8,RBBP8,NKX2-5,IFT52,KIAA0753,RAB3GAP2,FANCD2,KPTN,NONO,FANCE,MACROH2A1,SOS1,DYM,CLCF1,MYMK,SH3PXD2B,JAG1,CENPE,HOXA11,HIC1,EBP,POLA1,ANKRD11,MKRN3,NDN,DEAF1,SMAD4,FAM149B1,CNOT2,RUNX2,PIK3R1,XRCC4,MYOD1,IGF1,CITED2,RAB23,PRKDC,SNORD116-1,TMEM94,BMPR1B,OBSL1,PI4KA,BUB1B,ACVR1,ZIC3,REV3L,COG5,PIGS,RSPRY1,MCTP2,ROR2,CTU2,ALG9,KCNK4,PALB2,BGN,TBX4,PNPLA6,FLNA,ATR,NKX2-6,PHGDH,MAFB,GTF2IRD1,KLHL7,TRPS1,BRCA2,GPC3,MOGS,YY1AP1,RAD51C,FLT4,LONP1,MECOM,KIF7,RRAS2,HRAS,NAA10,UBE2T,TNNT3,SLC2A10,CHRNA7,YWHAE,MYH3,NXN,NUP37,ZEB2,SOST,WDR19,AKT1,EIF4A3,RAB3GAP1,CDC42,SETBP1,L1CAM,IGF2,CNTN1,TPM2,SLX4,TCTN3,GDF1,PTPN11,LMX1B,TBC1D24,WDR4,BBS1,MLXIPL,ESCO2,SNORD115-1,SALL4,RFC2,SPOP,ATN1,NOG,KNSTRN,TWIST1,RFWD3,COMP,ELN,B3GLCT,ZC4H2,CDT1,VPS13B,XYLT1,OFD1,FANCL,PTEN,GJA5,MED12,ALX3,CILK1,BRCA1,CHST3,RBM28,IKBKG,CLIP2,GDF5,NRAS,WNT5A,MAF,BHLHA9,MBD5,MYCN,SF3B4,NALCN,TRIP13,SETD5,DSP,CANT1,PPP2R1A,TFAP2A,RERE,PIGH,PDE6D,SRCAP,CPLANE1,PIGN,LIG4,MAN1B1,ORC4,EFTUD2,WIPI2,TBX1,RAF1,GMNN,XRCC2,NPAP1,C12ORF57,BCOR,PITX1,CKAP2L,DHCR7,SLC26A2,TCF20,CD96,EP300,LMBR1,FANCG,SMC3,TGDS,ERCC4,SALL1,BUB1,RAD21,EXT2,SHOX,KMT2A,KAT6B,SOS2,CEP152,ORC6,CTCF,RAI1,OPA3
Deviation of the thumb	ZC4H2,B3GLCT,UBA1,LONP1,ZNF462,RRAS2,ZIC3,TFAP2A,BMP4,BRCA1,GATA4,TP63,ANKRD11,CHSY1,FLNB,SIN3A,SMC3,SMC1A,ESCO2,FLNA,PTRH2,CRIPT,EFTUD2,RAD21,EIF4A3,KMT2A,CDC42,FANCB,MGAT2,NOG,DHCR7,SETD5,HOXA13,SLC26A2,NIPBL,HDAC8,FGFR2
Deviation of toes	BAZ1B,PTCHD1,ARHGEF6,IL1RAPL1,SYP,MLXIPL,RNF6,USP27X,FRMPD4,WWOX,CNKSR2,SLC9A7,WDFY3,COG8,CXORF56,RBBP8,TCF12,RFC2,ARX,FTSJ1,YY1,TANC2,NONO,HOXD13,TRMT1,BPTF,MYT1L,C2CD3,HOXA13,ZNF469,BMP2,USP9X,KCNH1,TWIST1,PPP1R15B,FGFR1,ELN,GDI1,XYLT1,NUP107,PTEN,MED12,ITCH,USP7,ERMARD,ACSL4,CHST3,ALG3,CLIP2,GDF5,DLG3,SVBP,LIMK1,ATL3,ZNF711,MECP2,ERF,SF3B4,MID2,BMPR1B,B3GAT3,TRAPPC4,ZNF81,ACVR1,ZNF41,IL11RA,RSPRY1,SLC16A2,ATP6V1B2,PSMB8,PIGH,GTF2I,TP63,CHSY1,IQSEC2,AEBP1,TSPAN7,FLNA,MED13,SLC29A3,KCNN3,TRMT10A,DMD,GTF2IRD1,RAB39B,DACT1,ACTL6B,RLIM,CKAP2L,SCARF2,ALG13,TCF20,KCNJ2,ACTL6A,FLI1,ZMIZ1,FGFR2,CREBBP,EP300,BCORL1,FGFR3,SATB2,CLCN4,RPS6KA3,MYH3,DOCK3,COL1A2,DYRK1A,ZEB2,SALL1,CDKL5,TGFBR2,PRDM5,EIF4A3,AKT1,DLEC1,FGF9,HCFC1,PSMD12,B3GALT6,AGTR2,PAK3,DDX6,KAT6A,NTNG1,FBXW11,SRY,FHL1,TBL2,CHST11,KMT2E,UPF3B
Dexamethasone-suppressible primary hyperaldosteronism	CYP11B2,CYP11B1
Dextrocardia	UBR1,TMEM216,DNAI1,DNAL1,GDF1,CEP41,COL18A1,GLI1,RPGRIP1L,DNAAF6,CEP104,TMEM67,RSPH9,GAS8,DNAH5,CEP120,KIAA0586,EVC2,ODAD1,NECTIN1,CFAP298,RSPH3,ZMPSTE24,OFD1,CFC1,CFAP53,NODAL,ZMYND10,CCDC103,DNAJB13,TTC8,INVS,PQBP1,INPP5E,B9D2,HES7,EVC,AHI1,ANKS6,DNAI2,PIBF1,MEGF8,ARL13B,CEP55,ARMC9,DNAH9,NPHP3,LRRC56,SPAG1,TCTN1,DNAAF2,GAS2L2,CCDC39,ZIC3,DNAH1,MSX1,LRRC6,ODAD3,ODAD4,PKD2,TMEM231,MKS1,RSPH1,CCNO,CCDC40,CCDC65,CSPP1,IRF6,FOXJ1,TCTN2,CFAP300,SPEF2,TP63,TTC12,CPLANE1,HYLS1,MYRF,DNAAF1,CDH2,ACVR2B,BCOR,MNS1,DNAAF5,DNAH11,NME8,TMEM237,ARL2BP,DYNC2LI1,ZNF423,NEK8,OTX2,CEP290,LZTFL1,TMEM107,STK36,MCIDAS,PRRX1,DRC1,ODAD2,CC2D2A,TGDS,RPGRIP1,DNAAF3,CFAP221,RPGR,WT1,WDPCP,B9D1,RSPH4A,KATNIP,HYDIN,ARL3,SLC19A2,PIEZO2,CRELD1,DNAAF4,LMNA,MMP21,NEK10
Dextrotransposition of the great arteries	ZNF462
Diabetes insipidus	AVP,CDON,LHX4,VIPAS39,WDR11,OTX2,GPR161,ARL6,HLA-DPA1,AQP2,PTEN,HLA-DRB1,ALX3,PROKR2,DLL1,FGF8,GLA,SOX2,SOX3,HESX1,AVPR2,NODAL,HLA-DPB1,PTPN22,TGIF1,BBS1,TP63,SHH,ROBO1,WFS1,CISD2,ZIC2,SMC1A,CTNNB1,DISP1,ALMS1,CNOT1,GLI2,OCRL,BRAF,AKT1,PRPS1,SIX3,FOXH1,BTNL2,PTCH1,CTLA4,PRTN3,TDGF1,VPS33B,ARNT2,STAG2,CCDC28B,GAS1,STRADA,FGFR1
Diabetes mellitus	TP53,HLA-DRB1,TRNW,SOX3,FGF8,IPW,PROM1,NDUFA11,GPR101,PRPF3,ATP6,RP2,CAV1,LRAT,USP8,AIRE,IL6,SBDS,AGBL5,FGFR1,IMPG2,NRL,NDUFB3,RGR,GJA1,DMXL2,FXN,GLRX5,LEPR,GLIS3,ZFP57,SHH,ND6,AR,STOX1,LIMK1,FOXH1,NDUFS2,CYTB,LMNB2,ROM1,ZBTB20,CTNNB1,GATA6,AEBP1,IGF1R,STAT1,CNOT1,PDE11A,RHO,SAG,HLA-DQB1,EDA,MEN1,CCDC28B,GAS1,PRPH2,KRAS,KCTD1,IER3IP1,FOXP3,NEK2,CLCNKB,PCNT,FAM161A,PWAR1,PCARE,TULP1,TRNK,KLF11,SIX3,NOP10,PRPF8,LMNA,HMGA1,SNRPN,IFT88,ABCC8,BAZ1B,MST1,ARL6,RRM2B,PDE6G,EDA2R,HESX1,LRP6,MAGEL2,BLM,INS,RNASEH2C,HERC2,MERTK,APOE,IDH3B,MMP2,FOS,SLC25A4,NPM1,PTF1A,TDGF1,CEP19,BMP2,CASR,LIPC,ZMPSTE24,CDHR1,ITCH,CLRN1,CYP19A1,APPL1,NDUFS4,DNM1L,MC4R,ZIC2,IDH3A,ND5,USH2A,FOXC2,CP,RP9,CEL,SRP54,HMGA2,PDE6A,HFE,PRPF31,ND3,COX2,RP1L1,DCAF17,IL2RA,SLC12A3,IMPDH1,NUBPL,STAT3,CNGA1,NEUROG3,ENPP1,NDUFS6,ADAR,USB1,PRKACA,RDH12,SLC16A2,TRNL1,BSCL2,DLL1,RPE65,POMGNT1,GTF2I,KCNJ11,SIM1,ND4,TRNS2,PTRH2,CRX,IFT140,CORIN,NDUFS3,SAMHD1,FSCN2,SPINK1,TTC7A,AKT2,PSTPIP1,KIAA1549,BLK,FOXP1,ARL2BP,NDUFB9,ZNF408,KIZ,LEMD3,WFS1,CARS1,PPARG,PEX1,IGF2BP2,MOG,ARHGEF18,BRAF,PARN,AHR,ZNF513,POLG,PEX6,KDSR,ZFYVE26,PWRN1,TBL2,TCF4,GNAS,OPA1,UBR1,NDUFS1,AIP,COX3,CDH23,TRNC,SOX2,MKRN3-AS1,NEUROD1,TRNE,GUCA1B,NKX2-5,NDUFAF2,GLI2,HAMP,VANGL2,TOPORS,HNF1B,FOXRED1,C8ORF37,CAT,DKC1,TRNF,TRNS1,TERT,MAFA,CPA1,NDUFV1,PPP1R15B,CNGB1,PDE4D,PEX10,CTC1,NODAL,POLA1,TGIF1,IFT172,MKRN3,LIPE,RAC1,NDN,NHP2,GATA3,ALMS1,SMAD4,CFTR,AHI1,PIK3R1,XRCC4,ELMO2,DMPK,SNORD116-1,HNF1A,AGPAT2,TREX1,MTNR1B,PRPF6,SLC2A2,RNASEH2A,ND1,TMEM126B,NDUFA1,SLC7A14,SLC30A8,PALB2,TIMMDC1,HJV,RP1,SNRNP200,CDKN2A,NDUFS7,BEST1,PNPLA6,MMP14,ITPR3,GTF2IRD1,PDE8B,KLHL7,BRCA2,GCK,MAPK8IP1,REEP6,IL18BP,ARMC5,IRS1,RNASEH2B,NDP,TKT,VANGL1,PROKR2,NDUFAF4,DNAJC21,SMPD4,WRAP53,PPP1R3A,SARS2,EFL1,CISD2,MAK,RPGR,PROK2,PLCD1,CERKL,TUB,STUB1,PDE6B,NSMCE2,RLBP1,ARL3,ATM,SLC19A2,LHX1,PRCD,PTPN22,CNBP,APOA5,COL2A1,CAVIN1,DNAJC3,BBS1,MLXIPL,NDUFAF5,SNORD115-1,DISP1,GPD2,PRKAR1A,RFC2,HGSNAT,IRS2,PDX1,EIF2AK3,PRPF4,NDUFB10,TRNH,INSR,ARNT2,FLT1,EIF2S3,WRN,ELN,TCF7L2,TERC,GJB3,OFD1,BRCA1,PRSS1,HNF4A,IFIH1,TTC8,GJB4,CLIP2,RTEL1,PLAGL1,HBB,MKKS,RBP3,NDUFS8,FUZ,AMACR,NDUFV2,TWNK,SPATA7,NDUFA6,PALLD,NR2E3,POLR3A,MTHFR,HYMAI,CTNS,BBS2,POLG2,FBN1,CTRC,TRNQ,IARS1,ABCA4,CA4,LIG4,NDUFB11,CRB1,NOTCH3,SLC29A3,TRMT10A,CIDEC,NPAP1,PTCH1,NDUFAF1,NDUFAF8,NDUFAF3,CDON,LEP,EYS,PTPN1,OTX2,PLIN1,POC1A,PNPLA2,DHDDS,SCAPER,TRNV,DHX38,COX1,SUFU,GPR35,PRSS2,SEMA4A,TTPA,RETN,ERGIC1,PAX4,POLD1,ND2,TINF2
Diabetic ketoacidosis	ZFP57,ABCC8,KCNJ11,INSR,INS,SLC12A3,CLCNKB,PLAGL1,HYMAI
Dialeptic seizure	POGZ,MICAL1,PTCHD1,EPM2A,ARHGEF6,SCN1A,SMARCA2,CSTB,TBC1D24,IL1RAPL1,SYP,USP27X,FRMPD4,CNKSR2,SLC9A7,CXORF56,PRRT2,SLC35A3,ARX,FTSJ1,DOCK7,CPA6,UNC93B1,CACNB4,SLC12A5,USP9X,CHD2,CACNA1D,STRADA,GDI1,GABRB3,ATAD3A,TSC2,PAFAH1B1,MED12,DMXL2,SLC25A22,CILK1,GNAO1,AP2M1,DNM1L,SON,LGI1,GABRG2,DNM1,FMN2,ACSL4,KCNQ3,ALDH5A1,GATAD2B,ALMS1,DLG3,TANGO2,SCN2A,ASAH1,NGLY1,ZNF711,TRAF3,RELN,JRK,MECP2,SRPX2,TICAM1,SCN1B,EFHC1,MID2,MTOR,MTHFR,EHMT1,SMPD1,ADGRG1,ZNF81,NUBPL,PNKP,ZNF41,SCN9A,CLCN2,CLN8,SETD2,KCNT2,LAMA2,IQSEC2,TLR3,PIGP,NEXMIF,GAL,TSPAN7,GAMT,CRIPT,PIGQ,PNPLA8,PHGDH,ATXN10,CDH2,DMD,PIGM,NFKB2,HCN1,KCNA1,TSC1,WDR26,KCNMA1,RAB39B,VPS11,SYNGAP1,DPM3,RORB,ALG13,SIK1,WAC,SLC6A1,SZT2,OPHN1,SLC2A1,FIG4,CPLX1,GRIN2A,TBK1,GLUD1,SCN8A,GABRA1,CLCN4,RPS6KA3,DHDDS,ADGRV1,CEP85L,GNB1,GOSR2,STX1B,TRIM8,ZEB2,ARHGEF9,DYRK1A,APC2,CDKL5,KCNQ2,PIGT,HCFC1,SPATA5,NEUROD2,CASK,AGTR2,PAK3,NSD1,DHFR,CUX2,NHLRC1,MAPK10,ACSF3,PCDH19,RNU4ATAC,UPF3B,GABRD,CACNA1H,STXBP1
Diaminoaciduria	ARG1
Diaphragmatic eventration	PLOD3,MTM1,LRP2,IGHMBP2,CHRNG,MYOD1,ASNS,ARID2,STRA6,TRIP4,DNAJC19
Diaphragmatic paralysis	MORC2,TPI1,IGHMBP2,BAG3,GAA,MEGF10
Diaphragmatic weakness	DMPK,COL6A1,MORC2,PMP22,TPI1,COL6A2,TTN,IGHMBP2,SLC52A3,COL12A1,BAG3,GAA,COL6A3,MEGF10,TRPV4
Diaphyseal cortical sclerosis	MTAP,ANO5
Diaphyseal dysplasia	TBXAS1,TMEM165
Diaphyseal sclerosis	SOST,TGFB1,ANO5,CA2,TNFSF11,GNAS,MTAP,STX16
Diaphyseal thickening	INPPL1,IDUA,SOST,RMRP,GUSB,LRP5,PTDSS1,LBR,TBXAS1,LRP4,SHOX,SLC35D1
Diarrhea	MGME1,TP53,SCNN1G,ABCC8,PRKN,ICOS,TLK2,GREM1,NAGS,COX3,PIK3CD,RRM2B,SLC5A1,TRNW,MVK,HMGCL,F5,CASP8,GLA,TXNRD2,SCNN1B,ACADM,ZAP70,SLC9A3,ASXL1,DNAJC6,CD3E,VPS13C,SLC46A1,SAMD9,MLYCD,STAT4,MRAP,ALAD,NOD2,CPT1A,PERCC1,RET,MEFV,DES,EDN3,MPV17,IL2RG,TTR,PPP2R5D,GDNF,HYOU1,GFI1,DCLRE1C,TET2,ARX,HGSNAT,TNFRSF13C,GALT,TCN2,IFNGR1,TMPRSS15,AK2,CDKN2C,STAR,NBN,UCP2,IGKC,TRNF,TRNS1,KNSTRN,PLEC,LRRK2,DAXX,BLNK,TRNH,TERT,ACAT1,AIRE,IL6,TNFRSF13B,TKFC,IL21,SLC7A7,WDR1,TCIRG1,SRSF2,CD55,MC2R,IL10RA,KCNJ1,RFXAP,ADA,ALDOB,CHD7,CD109,ADAM17,CDKN2B,PTEN,ITCH,SLC25A13,USP7,NR3C2,BTD,NRTN,SPP1,ITGA2,POLA1,GNS,CARMIL2,CD79A,BRCA1,SON,RMRP,TCF3,ND6,RNF168,HNF4A,CPOX,KIF23,TGFB1,G6PC,ALG3,TTC37,EGFR,ACVRL1,ABCB4,IL2RB,ND5,SMAD4,HBB,NSUN2,COG6,NHLRC2,SGSH,BMPR1A,SRP54,ASAH1,SEMA3C,AP1S1,OPLAH,PIK3R1,CLMP,HLA-B,CFH,HTRA2,SEMA3D,IKZF1,CIITA,TSHR,PALLD,COX2,WNT2B,CCDC47,MAOA,PTPRC,MYO5B,DMPK,SLC12A1,SLC39A4,HNF1A,CYP11B2,WIPF1,NAXD,IL2RA,SLC12A3,C5,COG4,HMBS,ITGA2B,RAG2,CR2,NEUROG3,SLC10A2,SCN9A,ECE1,ND1,RNF113A,ELANE,TRNL1,SYNJ1,SKIV2L,AKR1D1,DGAT1,LCT,PALB2,GINS1,CD79B,TRNQ,ATRX,PKP1,KCNJ11,DDC,RECQL4,NAGLU,CDKN2A,SLC26A3,GATA6,ND4,TRNS2,LIG4,RUNX1,STAT1,IGLL1,ACTG2,GP1BA,SP110,CDKN1A,CYP27A1,LIPA,B2M,ANTXR2,CBL,ELP1,SMARCD2,BRCA2,CFHR3,ERCC8,DNASE1L3,TFRC,IDUA,TTC7A,ATP8B1,IRAK1,ATP7A,ETHE1,OTULIN,UCHL1,MCM6,CFHR1,TYMP,CD247,CYP7B1,GP1BB,SCNN1A,SCN11A,MEN1,HPS1,KIF1B,AGA,RFX5,ERCC2,AVP,PLVAP,SAR1B,ABCB11,CDKN1B,KRAS,MTTP,HSD3B7,MYD88,STX3,BTK,NLRC4,PMM2,FOXP3,NNT,PODXL,CLCNKB,SNCA,SDHD,SPINT2,ITGA6,PARK7,TNFRSF1A,WAS,EFL1,IL21R,FBP1,GUCY2C,APC,IKBKB,RAG1,ERCC4,CD3D,BACH2,ERCC6,COX1,CD19,SAA1,NCF4,IDS,LRBA,ENG,IFNG,SI,DBH,PINK1,PIGT,ALG8,RFXANK,POLG,IL6ST,EDNRB,PHKB,CTLA4,LRRC8A,RFX6,LCK,ITGB3,PCSK1,SLC19A2,MPI,EPCAM,IL7R,ACSF3,HADH,TREH,HEXB,HMGCS2,IGHM,SERPING1,CD40LG,JAK3,DNMT3B,RIPK1,SUGCT,ITGB4
Diastasis recti	B3GLCT,H19-ICR,FOXF1,KCNQ1,COLEC10,CHST14,PPP2R3C,SOX6,KCNQ1OT1,COLEC11,SPECC1L,GPC4,MASP1,PIGQ,SHPK,ELMO2,GPC3,MTOR,IGF2,TBCK,PORCN,GNPTAB,CDKN1C,EZH2
Diastema	PACS1,IFT57,ATRX,MGAT2,ANKRD11,CHSY1,RDH11,ALX3,STAG1,KCNMA1,DNMT3A,TUBGCP2,UBE3B,GATAD2B,KDM5C,NHS,ACTL6B,HMGB3
Dicarboxylic acidemia	L2HGDH,IDH2,ACSF3
Dicarboxylic aciduria	D2HGDH,HMGCL,ETFDH,ABCD4,CD320,SUCLA2,ACADL,ACADM,ETFA,CPT2,ACAD8,MMAB,SUCLG1,DHTKD1,IDH2,ETFB,SLC25A20,DNAJC19,MMUT,GCDH,HCFC1,TCN2,LMBRD1,POLG,ACADVL,MCEE,ETHE1,ACAD9,ACADS,SLC25A1,ACSF3,HADH,MMACHC,MMADHC,PRDX1,L2HGDH,MMAA,SUGCT,SLC52A1
Difficulty adjusting from light to dark	CACNA1F
Difficulty adjusting to changes in luminance	CACNA1F
Difficulty climbing stairs	MYPN,ALG2,DPAGT1,POLG2,SPEG,DYSF,RRM2B,RNASEH1,PYROXD1,MYOT,GFPT1,SGCG,POMGNT1,LAMA2,POMT1,TRNE,HADHB,DAG1,MFN2,TTN,ANO5,TPM3,DNAJB6,RYR1,TFG,HADHA,SGCA,TWNK,DMD,FLNC,VMA21,BIN1,POMK,POLG,ALG14,GMPPB,FKRP,TPM2,SLC25A4,PLEKHG5,PLEC,POMT2,KBTBD13,ACTA1,ADSS1,TCAP,CAPN3,VCP
Difficulty in tongue movements	GNAI3,ALS2,FRAS1,ERLIN2,PLCB4,EDN1,ATP13A2
Difficulty running	MYPN,ALG2,DPAGT1,SPEG,DYSF,PYROXD1,POPDC3,ADSS1,GFPT1,SGCG,TRNE,PNPLA2,PEX2,MFN2,TNPO3,TTN,ANO5,COL12A1,TPM3,MICU1,REEP1,RYR1,DYNC1H1,FBXO38,FLNC,KCNC3,VMA21,BIN1,ALG14,GMPPB,FKRP,BICD2,MORC2,KBTBD13,KY,STIM1,MEGF10,TCAP,TPM2
Difficulty standing	TK2,VDR,ATP2B3,ABCC8,TBCE,GPAA1,DYSF,KY,MYOT,CYP27B1,SLC34A3,FAR1,CYP2R1,SMS,WARS2,TFG,GRM1
Difficulty walking	AP4M1,SLC2A3,AP4B1,DYSF,TRNW,SLC25A19,MYOT,ERCC1,DNM2,FLRT1,TGM6,SURF1,NUS1,MSTO1,ARL6IP1,EEF1A2,PSAP,MFN2,DARS2,MTMR14,HSPB1,SLC30A9,WWOX,CNKSR2,KLHL9,RNASEH2C,DES,TAF1,MICU1,SCN3A,CYFIP2,KLHL41,MATR3,MYO9A,SACS,ARSI,TRAF7,FA2H,NKX2-1,AP4S1,C12ORF65,SGCB,MYF6,ATP6,AGRN,SETX,GJC2,BIN1,HK1,PYCR2,SLC5A7,PLEKHG5,GBA2,SGCD,TERT,KBTBD13,SPART,EIF2S3,DALRD3,USP9X,SLC34A3,ORAI1,STRADA,TIA1,UBA5,VDR,ERLIN1,DPAGT1,AARS1,WASHC5,ABHD5,B4GALNT1,SQSTM1,ARSA,MYH7,CCN6,SMO,PGAP1,POMT1,SORD,MATN3,SLC1A2,DNM1L,CHCHD10,MED25,GABRG2,DNM1,ANO5,GABRB2,TPM3,GABRA2,ACOX1,IFIH1,FDX2,KCNA2,CAPN1,SLC30A10,TK2,NDUFS8,ASAH1,PMP2,COL13A1,RNU12,FBXO38,FOXG1,SYT2,WDR48,MECP2,CRYAB,WARS2,BICD2,MORC2,SLC52A2,HERC1,NKX6-2,NACC1,VAMP1,TRAPPC11,TREX1,NUBPL,AP4E1,SBF2,ADAR,KLC2,SH3TC2,MYPN,RNASEH2A,ALG2,RSPRY1,KCNB1,SYNJ1,TBC1D23,FGF14,LRP4,LRP12,IBA57,NF2,TTBK2,ATRX,ATP6V1A,HSPB3,TRAK1,CRPPA,ARV1,GPT2,SNAP25,DHTKD1,CYP2R1,RYR1,PUS3,NOP56,ADCY5,SLC13A5,DMD,PIK3CA,BVES,FLNC,CYP27B1,PRX,INTS1,C19ORF12,KCNC3,DNA2,RARS1,HCN1,ALG14,SAMHD1,ERCC8,ACTL6B,SYNGAP1,ATP13A2,FKRP,BAP1,POMT2,RAB11B,GYG1,GLE1,GAN,KCND3,ATP7B,SLC25A1,YWHAG,ERLIN2,SMARCB1,RNASEH2B,SZT2,HPCA,VCP,CAPN3,GABRA5,CLTC,FGF12,PDGFB,WARS1,NECAP1,PPP3CA,AP3B2,CACNA1B,SCN8A,GFPT1,RTN2,SMARCE1,GRID2,PNPLA2,DAG1,NTRK1,DHDDS,PARS2,NEB,CIZ1,TTN,DDHD1,ERCC6,ERCC4,CHAT,MARCHF6,CDK8,REEP1,CACNA1A,SUFU,GOSR2,COASY,CDKL5,AKT1,STUB1,CDK19,NTRK2,GMPPB,PEX6,SLC18A3,DDX6,GALC,HACE1,GRIN2D,ACTA1,GPAA1,HTT,KY,GJB1,CPT1C,FHL1,PDK3,TPP1,SPG21,TCAP,ELOVL5,FKTN,TPM2,STXBP1
Diffuse	SLC34A2
Diffuse alveolar hemorrhage	BCOR,TBL1XR1,PRKAR1A,RARA,FIP1L1,STAT5B,ZBTB16,NPM1,NLRC4,IRF2BP2,NABP1,STAT3,PML,NUMA1
Diffuse axonal swelling	GAN,SETX
Diffuse cerebellar atrophy	MPLKIP,RNF113A,CARS2,KIF1A,TARS1,ERCC3,PEX10,EMC1,FMR1,TXN2,TBC1D24,GTF2E2,BTD,GTF2H5,DAB1,ERCC2
Diffuse cerebral atrophy	COG5,PRKAR1B,GRIN2A,GLB1,TBC1D24,DMXL2,BTD,SLC25A22,GNAO1,TBP,PSAP,DNM1L,CARS2,COG2,PIGP,FARS2,ATP6AP2,SCN2A,TRIM8,PIGQ,CDKL5,PMPCA,ARX,KCNA1,CTSF,RARS1,NEUROD2,CASK,FMR1,ATP13A2,GALC,SCN1B,MED17,FDXR,SIK1,PNKP,TBCD,STXBP1
Diffuse cerebral sclerosis	AIMP1
Diffuse demyelination of the cerebral white matter	HTRA1,ADAT3,GFAP
Diffuse glomerular basement membrane lamellation	COL4A3,COL4A5,COL4A4
Diffuse hepatic steatosis	ACOX1,HADHA,HADHB,COA8
Diffuse leiomyomatosis	COL4A5
Diffuse leukoencephalopathy	LMNB1
Diffuse mesangial sclerosis	AVIL,ARHGDIA,ADA,NUP93,NUP107,SGPL1,WDR73,NPHS1,WT1,OSGEP,LAMB2,COQ6,PLCE1,TP53RK
Diffuse nuclear cataract	VIM
Diffuse optic disc pallor	SCAPER,TUB,ZNF408,COL18A1,MMP19,POMGNT1,COL4A1
Diffuse palmoplantar hyperkeratosis	RHBDF2
Diffuse palmoplantar keratoderma	SLURP1,AQP5,KLHL24,KRT1,SNAP29,KRT14
Diffuse reticular or finely nodular infiltrations	SMPD1,ASAH1
Diffuse skin atrophy	LEMD3,FERMT1,GSN
Diffuse spongiform leukoencephalopathy	HEPACAM,PRNP,MLC1
Diffuse swelling of cerebral white matter	HEPACAM,MLC1
Diffuse telangiectasia	PEPD
Diffuse white matter abnormalities	DMXL2,POMGNT1,SURF1,SLC25A22,TIMM50,POMT1,GNAO1,NDUFB8,PIGP,SCN2A,TRIM8,PIGQ,PLEKHG2,CDKL5,SCO2,ARX,KCNA1,HEPACAM,POMK,NEUROD2,CASK,NDUFS2,VPS11,FKRP,GMPPB,SCN1B,POMT2,HERC1,SIK1,PNKP,HTRA1,NDUFAF3,STXBP1
Digenic inheritance	GJB3,GDF3,SLCO1B1,SMCHD1,SLCO1B3,GDF6,GJB2,NEK1,DYNC2H1,GJB6
Digital flexor tenosynovitis	PADI4,IL10,CD244,NFKBIL1,TTR,CIITA,PTPN22,SLC22A4
Digital ulcer	SCN9A,NTRK1,NGF,WNK1,CCT5,RETREG1,KIF1A,MPV17
Dilatated internal auditory canal	SIX1,EYA1,GJB2,POU3F4,GJB6
