Symbol	Full Name	Summary
FGF10	fibroblast growth factor 10 	The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities, and are involved in a variety of biological processes, including embryonic development, cell growth, morphogenesis, tissue repair, tumor growth and invasion. This protein exhibits mitogenic activity for keratinizing epidermal cells, but essentially no activity for fibroblasts, which is similar to the biological activity of FGF7. Studies of the mouse homolog of suggested that this gene is required for embryonic epidermal morphogenesis including brain development, lung morphogenesis, and initiation of lim bud formation. This gene is also implicated to be a primary factor in the process of wound healing. [provided by RefSeq, Jul 2008].
INTS6L	integrator complex subunit 6 like 	
ITPRIPL1	ITPRIP like 1 	
ABCC11	ATP binding cassette subfamily C member 11 	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This ABC full transporter is a member of the MRP subfamily which is involved in multi-drug resistance. The product of this gene participates in physiological processes involving bile acids, conjugated steroids, and cyclic nucleotides. In addition, a SNP in this gene is responsible for determination of human earwax type. This gene and family member ABCC12 are determined to be derived by duplication and are both localized to chromosome 16q12.1. Multiple alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Jul 2008].
SSH1	slingshot protein phosphatase 1 	The protein encoded by this gene belongs to the slingshot homolog (SSH) family of phosphatases, which regulate actin filament dynamics. The SSH proteins dephosphorylate and activate the actin binding/depolymerizing factor cofilin, which subsequently binds to actin filaments and stimulates their disassembly. Cofilin is inactivated by kinases such as LIM domain kinase-1 (LIMK1), which may also be dephosphorylated and inactivated by SSH proteins. The SSH family thus appears to play a role in actin dynamics by reactivating cofilin proteins. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Aug 2011].
gene/pseudogene	tryptase beta 2 	Tryptases comprise a family of trypsin-like serine proteases, the peptidase family S1. Tryptases are enzymatically active only as heparin-stabilized tetramers, and they are resistant to all known endogenous proteinase inhibitors. Several tryptase genes are clustered on chromosome 16p13.3. These genes are characterized by several distinct features. They have a highly conserved 3' UTR and contain tandem repeat sequences at the 5' flank and 3' UTR which are thought to play a role in regulation of the mRNA stability. These genes have an intron immediately upstream of the initiator Met codon, which separates the site of transcription initiation from protein coding sequence. This feature is characteristic of tryptases but is unusual in other genes. The alleles of this gene exhibit an unusual amount of sequence variation, such that the alleles were once thought to represent two separate genes, beta II and beta III. Beta tryptases appear to be the main isoenzymes expressed in mast cells, whereas in basophils, alpha-tryptases predominate. Tryptases have been implicated as mediators in the pathogenesis of asthma and other allergic and inflammatory disorders. [provided by RefSeq, Jul 2008].
SLC13A1	solute carrier family 13 member 1 	The protein encoded by this gene is an apical membrane Na(+)-sulfate cotransporter involved in sulfate homeostasis in the kidney. Defects in this gene lead to many pathophysiologic problems. [provided by RefSeq, May 2016].
GMPS	guanine monophosphate synthase 	In the de novo synthesis of purine nucleotides, IMP is the branch point metabolite at which point the pathway diverges to the synthesis of either guanine or adenine nucleotides. In the guanine nucleotide pathway, there are 2 enzymes involved in converting IMP to GMP, namely IMP dehydrogenase (IMPD1), which catalyzes the oxidation of IMP to XMP, and GMP synthetase, which catalyzes the amination of XMP to GMP. [provided by RefSeq, Jul 2008].
KERA	keratocan 	The protein encoded by this gene is a keratan sulfate proteoglycan that is involved in corneal transparency. Defects in this gene are a cause of autosomal recessive cornea plana 2 (CNA2).[provided by RefSeq, May 2010].
RBM39	RNA binding motif protein 39 	This gene encodes a member of the U2AF65 family of proteins. The encoded protein is found in the nucleus, where it co-localizes with core spliceosomal proteins. It has been shown to play a role in both steroid hormone receptor-mediated transcription and alternative splicing, and it is also a transcriptional coregulator of the viral oncoprotein v-Rel. Multiple transcript variants have been observed for this gene. A related pseudogene has been identified on chromosome X. [provided by RefSeq, Aug 2011].
RNF175	ring finger protein 175 	
KLRC3	killer cell lectin like receptor C3 	Natural killer (NK) cells are lymphocytes that can mediate lysis of certain tumor cells and virus-infected cells without previous activation. They can also regulate specific humoral and cell-mediated immunity. NK cells preferentially express several calcium-dependent (C-type) lectins, which have been implicated in the regulation of NK cell function. KLRC3 is a member of the NKG2 group which are expressed primarily in natural killer (NK) cells and encodes a family of transmembrane proteins characterized by a type II membrane orientation (extracellular C terminus) and the presence of a C-type lectin domain. The NKG2 gene family is located within the NK complex, a region that contains several C-type lectin genes preferentially expressed on NK cells. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008].
KRT13	keratin 13 	The protein encoded by this gene is a member of the keratin gene family. The keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into cytokeratins and hair keratins. Most of the type I cytokeratins consist of acidic proteins which are arranged in pairs of heterotypic keratin chains. This type I cytokeratin is paired with keratin 4 and expressed in the suprabasal layers of non-cornified stratified epithelia. Mutations in this gene and keratin 4 have been associated with the autosomal dominant disorder White Sponge Nevus. The type I cytokeratins are clustered in a region of chromosome 17q21.2. Alternative splicing of this gene results in multiple transcript variants; however, not all variants have been described. [provided by RefSeq, Jul 2008].
HHIP	hedgehog interacting protein 	This gene encodes a member of the hedgehog-interacting protein (HHIP) family. The hedgehog (HH) proteins are evolutionarily conserved protein, which are important morphogens for a wide range of developmental processes, including anteroposterior patterns of limbs and regulation of left-right asymmetry in embryonic development. Multiple cell-surface receptors are responsible for transducing and/or regulating HH signals. The HHIP encoded by this gene is a highly conserved, vertebrate-specific inhibitor of HH signaling. It interacts with all three HH family members, SHH, IHH and DHH. Two single nucleotide polymorphisms (SNPs) near this gene are significantly associated with risk of chronic obstructive pulmonary disease (COPD). A single nucleotide polymorphism in this gene is also strongly associated with human height.[provided by RefSeq, Feb 2011].
UMODL1	uromodulin like 1 	
ACTRT1	actin related protein T1 	This gene encodes a protein related to the cytoskeletal protein beta-actin. This protein is a major component of the calyx in the perinuclear theca of mammalian sperm heads, and it therefore likely functions in spermatid formation. This gene is intronless and is similar to a related gene located on chromosome 1. A related pseudogene has also been identified approximately 75 kb downstream of this gene on chromosome X. [provided by RefSeq, May 2010].
SLC7A2	solute carrier family 7 member 2 	The protein encoded by this gene is a cationic amino acid transporter and a member of the APC (amino acid-polyamine-organocation) family of transporters. The encoded membrane protein is responsible for the cellular uptake of arginine, lysine and ornithine. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011].
SLC10A2	solute carrier family 10 member 2 	This gene encodes a sodium/bile acid cotransporter. This transporter is the primary mechanism for uptake of intestinal bile acids by apical cells in the distal ileum. Bile acids are the catabolic product of cholesterol metabolism, so this protein is also critical for cholesterol homeostasis. Mutations in this gene cause primary bile acid malabsorption (PBAM); muatations in this gene may also be associated with other diseases of the liver and intestines, such as familial hypertriglyceridemia (FHTG). [provided by RefSeq, Mar 2010].
GLRA4	glycine receptor alpha 4 	This gene encodes a protein which has a neurotransmitter-gated ion-channel ligand binding domain. The encoded protein is very similar to a mouse protein which is a subunit of the retinal glycine receptor. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2011].
API5	apoptosis inhibitor 5 	This gene encodes an apoptosis inhibitory protein whose expression prevents apoptosis after growth factor deprivation. This protein suppresses the transcription factor E2F1-induced apoptosis and also interacts with, and negatively regulates Acinus, a nuclear factor involved in apoptotic DNA fragmentation. Its depletion enhances the cytotoxic action of the chemotherapeutic drugs. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011].
SMNDC1	survival motor neuron domain containing 1 	This gene is a paralog of SMN1 gene, which encodes the survival motor neuron protein, mutations in which are cause of autosomal recessive proximal spinal muscular atrophy. The protein encoded by this gene is a nuclear protein that has been identified as a constituent of the spliceosome complex. This gene is differentially expressed, with abundant levels in skeletal muscle, and may share similar cellular function as the SMN1 gene. [provided by RefSeq, Jul 2008].
MRPL44	mitochondrial ribosomal protein L44 	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008].
NKAP	NFKB activating protein 	This gene encodes a protein that is involved in the activation of the ubiquitous transcription factor NF-kappaB. This protein is associated with the the histone deacetylase HDAC3 and with the Notch corepressor complex, and it thereby acts as a transcriptional repressor of Notch target genes. It is also required for alphabeta T cell development. A related pseudogene has been identified on chromosome X, while a related and intronless retrocopy, which has an intact CDS and may be functional, is located on chromosome 6. [provided by RefSeq, May 2010].
ME2	malic enzyme 2 	This gene encodes a mitochondrial NAD-dependent malic enzyme, a homotetrameric protein, that catalyzes the oxidative decarboxylation of malate to pyruvate. It had previously been weakly linked to a syndrome known as Friedreich ataxia that has since been shown to be the result of mutation in a completely different gene. Certain single-nucleotide polymorphism haplotypes of this gene have been shown to increase the risk for idiopathic generalized epilepsy. Alternatively spliced transcript variants encoding different isoforms found for this gene. [provided by RefSeq, Dec 2009].
ODF2	outer dense fiber of sperm tails 2 	The outer dense fibers are cytoskeletal structures that surround the axoneme in the middle piece and principal piece of the sperm tail. The fibers function in maintaining the elastic structure and recoil of the sperm tail as well as in protecting the tail from shear forces during epididymal transport and ejaculation. Defects in the outer dense fibers lead to abnormal sperm morphology and infertility. This gene encodes one of the major outer dense fiber proteins. Alternative splicing results in multiple transcript variants. The longer transcripts, also known as 'Cenexins', encode proteins with a C-terminal extension that are differentially targeted to somatic centrioles and thought to be crucial for the formation of microtubule organizing centers. [provided by RefSeq, Oct 2010].
PCM1	pericentriolar material 1 	The protein encoded by this gene is a component of centriolar satellites, which are electron dense granules scattered around centrosomes. Inhibition studies show that this protein is essential for the correct localization of several centrosomal proteins, and for anchoring microtubules to the centrosome. Chromosomal aberrations involving this gene are associated with papillary thyroid carcinomas and a variety of hematological malignancies, including atypical chronic myeloid leukemia and T-cell lymphoma. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2015].
ELF5	E74 like ETS transcription factor 5 	The protein encoded by this gene is a member of an epithelium-specific subclass of the Ets transcritpion factor family. In addition to its role in regulating the later stages of terminal differentiation of keratinocytes, it appears to regulate a number of epithelium-specific genes found in tissues containing glandular epithelium such as salivary gland and prostate. It has very low affinity to DNA due to its negative regulatory domain at the amino terminus. Several alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2011].
MLYCD	malonyl-CoA decarboxylase 	The product of this gene catalyzes the breakdown of malonyl-CoA to acetyl-CoA and carbon dioxide. Malonyl-CoA is an intermediate in fatty acid biosynthesis, and also inhibits the transport of fatty acyl CoAs into mitochondria. Consequently, the encoded protein acts to increase the rate of fatty acid oxidation. It is found in mitochondria, peroxisomes, and the cytoplasm. Mutations in this gene result in malonyl-CoA decarboyxlase deficiency. [provided by RefSeq, Jul 2008].
CLDN16	claudin 16 	Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. It is found primarily in the kidneys, specifically in the thick ascending limb of Henle, where it acts as either an intercellular pore or ion concentration sensor to regulate the paracellular resorption of magnesium ions. Defects in this gene are a cause of primary hypomagnesemia, which is characterized by massive renal magnesium wasting with hypomagnesemia and hypercalciuria, resulting in nephrocalcinosis and renal failure. This gene and the CLDN1 gene are clustered on chromosome 3q28. [provided by RefSeq, Jun 2010].
TPCN2	two pore segment channel 2 	This gene encodes a putative cation-selective ion channel with two repeats of a six-transmembrane-domain. The protein localizes to lysosomal membranes and enables nicotinic acid adenine dinucleotide phosphate (NAADP) -induced calcium ion release from lysosome-related stores. This ubiquitously expressed gene has elevated expression in liver and kidney. Two common nonsynonymous SNPs in this gene strongly associate with blond versus brown hair pigmentation.[provided by RefSeq, Dec 2009].
NECAP1	NECAP endocytosis associated 1 	This gene encodes a protein containing two characteristic WXXF motifs. The encoded protein localizes to clathrin-coated vesicles, where it binds components of the adapter protein complexes and aids in endocytosis. Loss of function of this gene results in early infantile epileptic encephalopathy-21. There is a pseudogene for this gene on chromosome 7. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014].
KLHL15	kelch like family member 15 	This gene encodes a member of the kelch-like family of proteins that share a common domain structure consisting of an N-terminal broad-complex, tramtrack, bric-a-brac/poxvirus and zinc finger domain and C-terminal kelch repeat motifs. The encoded protein may be involved in protein ubiquitination and cytoskeletal organization. [provided by RefSeq, Apr 2009].
GZMA	granzyme A 	Cytolytic T lymphocytes (CTL) and natural killer (NK) cells share the remarkable ability to recognize, bind, and lyse specific target cells. They are thought to protect their host by lysing cells bearing on their surface 'nonself' antigens, usually peptides or proteins resulting from infection by intracellular pathogens. The protein described here is a T cell- and natural killer cell-specific serine protease that may function as a common component necessary for lysis of target cells by cytotoxic T lymphocytes and natural killer cells. [provided by RefSeq, Jul 2008].
MAGEB18	MAGE family member B18 	
NUP93	nucleoporin 93 	The nuclear pore complex is a massive structure that extends across the nuclear envelope, forming a gateway that regulates the flow of macromolecules between the nucleus and the cytoplasm. Nucleoporins are the main components of the nuclear pore complex in eukaryotic cells. This gene encodes a nucleoporin protein that localizes both to the basket of the pore and to the nuclear entry of the central gated channel of the pore. The encoded protein is a target of caspase cysteine proteases that play a central role in programmed cell death by apoptosis. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Dec 2016].
TUBB8	tubulin beta 8 class VIII 	The protein encoded by this gene represents the primary beta-tubulin subunit of oocytes and the early embryo. Defects in this gene, which is primate-specific, are a cause of oocyte maturation defect 2 and infertility. [provided by RefSeq, Mar 2016].
SEC14L3	SEC14 like lipid binding 3 	The protein encoded by this gene is highly similar to the protein encoded by the Saccharomyces cerevisiae SEC14 gene. The SEC14 protein is a phophatidylinositol transfer protein that is essential for biogenesis of Golgi-derived transport vesicles, and thus is required for the export of yeast secretory proteins from the Golgi complex. The specific function of this protein has not yet been determined. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jul 2012].
KLF7	Kruppel like factor 7 	The protein encoded by this gene is a member of the Kruppel-like transcriptional regulator family. Members in this family regulate cell proliferation, differentiation and survival and contain three C2H2 zinc fingers at the C-terminus that mediate binding to GC-rich sites. This protein may contribute to the progression of type 2 diabetes by inhibiting insulin expression and secretion in pancreatic beta-cells and by deregulating adipocytokine secretion in adipocytes. A pseudogene of this gene is located on the long arm of chromosome 3. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012].
PRDM5	PR/SET domain 5 	The protein encoded by this gene is a transcription factor of the PR-domain protein family. It contains a PR-domain and multiple zinc finger motifs. Transcription factors of the PR-domain family are known to be involved in cell differentiation and tumorigenesis. [provided by RefSeq, Jul 2008]. COMPLETENESS: complete on the 3' end.
FRMD4B	FERM domain containing 4B 	This gene encodes a GRP1-binding protein which contains a FERM protein interaction domain as well as two coiled coil domains. This protein may play a role as a scaffolding protein. [provided by RefSeq, Mar 2014].
UBXN8	UBX domain protein 8 	p97 or VCP (valosin-containing protein) is a versatile ATPase complex, and many cofactors are required for the p97 functional diversity. This gene encodes one of the p97 cofactors. This cofactor is a transmembrane protein and localized in the endoplasmic reticulum (ER) membrane. It tethers p97 to the ER membrane via its UBX domain. The association of this cofactor with p97 facilitates efficient ER-associated degradation of misfolded proteins. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Aug 2013].
PLXNA3	plexin A3 	This gene encodes a member of the plexin class of proteins. The encoded protein is a class 3 semaphorin receptor, and may be involved in cytoskeletal remodeling and as well as apoptosis. Studies of a similar gene in zebrafish suggest that it is important for axon pathfinding in the developing nervous system. This gene may be associated with tumor progression. [provided by RefSeq, Aug 2013].
CHST12	carbohydrate sulfotransferase 12 	The protein encoded by this gene belongs to the sulfotransferase 2 family. It is localized to the golgi membrane, and catalyzes the transfer of sulfate to position 4 of the N-acetylgalactosamine (GalNAc) residue of chondroitin and desulfated dermatan sulfate. Chondroitin sulfate constitutes the predominant proteoglycan present in cartilage, and is distributed on the surfaces of many cells and extracellular matrices. Alternatively spliced transcript variants differing only in their 5' UTRs have been found for this gene. [provided by RefSeq, Aug 2011].
Hsp40	DnaJ heat shock protein family 	This gene encodes a member of the DnaJ heat shock protein family. The encoded protein, which contains a conserved N-terminal DnaJ domain, is thought to play a role in protein folding or act as a molecular chaperone protein. [provided by RefSeq, Oct 2016].
CAPN6	calpain 6 	Calpains are ubiquitous, well-conserved family of calcium-dependent, cysteine proteases. The calpain proteins are heterodimers consisting of an invariant small subunit and variable large subunits. The large subunit possesses a cysteine protease domain, and both subunits possess calcium-binding domains. Calpains have been implicated in neurodegenerative processes, as their activation can be triggered by calcium influx and oxidative stress. The protein encoded by this gene is highly expressed in the placenta. Its C-terminal region lacks any homology to the calmodulin-like domain of other calpains. The protein lacks critical active site residues and thus is suggested to be proteolytically inactive. The protein may play a role in tumor formation by inhibiting apoptosis and promoting angiogenesis. [provided by RefSeq, Nov 2009].
PROKR1	prokineticin receptor 1 	This gene encodes a member of the G-protein-coupled receptor family. The encoded protein binds to prokineticins (1 and 2), leading to the activation of MAPK and STAT signaling pathways. Prokineticins are protein ligands involved in angiogenesis and inflammation. The encoded protein is expressed in peripheral tissues such as those comprising the circulatory system, lungs, reproductive system, endocrine system and the gastrointestinal system. The protein may be involved in signaling in human fetal ovary during initiation of primordial follicle formation. Sequence variants in this gene may be associated with recurrent miscarriage. [provided by RefSeq, Aug 2016].
ELOA3	elongin A3 	The SIII (or elongin) transcription elongation factor complex stimulates the rate of transcription elongation by RNA polymerase II by suppressing the transient pausing of the polymerase at many sites along the DNA template. This complex is a heterotrimer, composed of the transcriptionally active subunit A, A2 or A3 (or elongin A, A2 or A3) and two regulatory subunits, B and C (or elongin B and C). This gene encodes subunit A3. A3 and A are ubiquitously expressed, whereas A2 is specifically expressed in the testis. [provided by RefSeq, Mar 2010].
RHBDD2	rhomboid domain containing 2 	The protein encoded by this gene is a member of the rhomboid family of membrane-bound proteases and is overexpressed in some breast cancers. Members of this family are involved in intramembrane proteolysis. In mouse, the orthologous protein associates with the Golgi body. [provided by RefSeq, Sep 2016].
SLC25A3	solute carrier family 25 member 3 	The protein encoded by this gene catalyzes the transport of phosphate into the mitochondrial matrix, either by proton cotransport or in exchange for hydroxyl ions. The protein contains three related segments arranged in tandem which are related to those found in other characterized members of the mitochondrial carrier family. Both the N-terminal and C-terminal regions of this protein protrude toward the cytosol. Multiple alternatively spliced transcript variants have been isolated. [provided by RefSeq, Jul 2008].
SLC35A3	solute carrier family 35 member A3 	This gene encodes a UDP-N-acetylglucosamine transporter found in the golgi apparatus membrane. In cattle, a missense mutation in this gene causes complex vertebral malformation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2012].
LANCL3	LanC like 3 	
SLC39A4	solute carrier family 39 member 4 	This gene encodes a member of the zinc/iron-regulated transporter-like protein (ZIP) family. The encoded protein localizes to cell membranes and is required for zinc uptake in the intestine. Mutations in this gene result in acrodermatitis enteropathica. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2013].
C7	complement C7 	This gene encodes a serum glycoprotein that forms a membrane attack complex together with complement components C5b, C6, C8, and C9 as part of the terminal complement pathway of the innate immune system. The protein encoded by this gene contains a cholesterol-dependent cytolysin/membrane attack complex/perforin-like (CDC/MACPF) domain and belongs to a large family of structurally related molecules that form pores involved in host immunity and bacterial pathogenesis. This protein initiates membrane attack complex formation by binding the C5b-C6 subcomplex and inserts into the phospholipid bilayer, serving as a membrane anchor. Mutations in this gene are associated with a rare disorder called C7 deficiency. [provided by RefSeq, Nov 2016].
PRSS57	serine protease 57 	This gene encodes an arginine-specific serine protease and member of the peptidase S1 family of proteins. The encoded protein may undergo proteolytic activation before storage in azurophil granules, in neutrophil cells of the immune system. Following neutrophil activation, the protease is released into the pericellular environment, where it may play a role in defense against microbial pathogens. [provided by RefSeq, Jul 2016].
POU3F4	POU class 3 homeobox 4 	This gene encodes a member of the POU-III class of neural transcription factors. This family member plays a role in inner ear development. The protein is thought to be involved in the mediation of epigenetic signals which induce striatal neuron-precursor differentiation. Mutations in this gene are associated with X chromosome-linked nonsyndromic mixed deafness. [provided by RefSeq, Dec 2012].
TRIT1	tRNA isopentenyltransferase 1 	This gene encodes a protein that that is targeted to the mitochondrion and modifies transfer RNAs (tRNAs) by adding a dimethylallyl group onto the adenine at position 37. This modification is important for maintaining the correct reading frame during protein translation. This gene is considered a tumor suppressor and its expression can decrease cell growth. Alternative splicing results in multiple transcripts variants, most of which are likely non-functional. [provided by RefSeq, Aug 2015].
SYAP1	synapse associated protein 1 	
SLC39A13	solute carrier family 39 member 13 	This gene encodes a member of the LIV-1 subfamily of the ZIP transporter family. The encoded transmembrane protein functions as a zinc transporter. Mutations in this gene have been associated with the spondylocheiro dysplastic form of Ehlers-Danlos syndrome. Alternate transcript variants have been found for this gene. [provided by RefSeq, Jan 2016].
CTTNBP2	cortactin binding protein 2 	This gene encodes a protein with six ankyrin repeats and several proline-rich regions. A similar gene in rat interacts with a central regulator of the actin cytoskeleton. [provided by RefSeq, Jul 2008].
ZNF141	zinc finger protein 141 	The protein encoded by this gene is a zinc finger protein that may be a tumor suppressor. Defects in this gene have been associated with autosomal recessive postaxial polydactyly type A. [provided by RefSeq, Jan 2017].
OXCT1	3-oxoacid CoA-transferase 1 	This gene encodes a member of the 3-oxoacid CoA-transferase gene family. The encoded protein is a homodimeric mitochondrial matrix enzyme that plays a central role in extrahepatic ketone body catabolism by catalyzing the reversible transfer of coenzyme A from succinyl-CoA to acetoacetate. Mutations in this gene are associated with succinyl CoA:3-oxoacid CoA transferase deficiency. [provided by RefSeq, Jul 2008].
ITPRID1	ITPR interacting domain containing 1 	
